Position,Long Description,Company Name,Exp Years,Primary Keyword,English Level,Published,Long Description_lang,id,index_level_0,Reference_Summary
Digital Marketing Manager (IT),Qualifications 3 years proven experience in B2B software marketing preferably SaaS Minimum 3 years direct experience with demand generation Excellent knowledge of analytics platforms Bachelor s Degree or equivalent in Marketing or Business Level of English Upper-intermediate Experience of working with SAP1 clients is preferable Skills Digital marketing knowledge SEO Email Social etc. An analytical data-driven mindset to prioritize high-value work Project management skills to work with a budget meet deadlines and ensure ROI. Excellent written and oral communication skills Highly-motivated with initiative and is willing to take ownership for the all work they undertake Responsibilities Planning and Strategy Develop and execute online campaigns to deliver effectively efficient demand identifying the channels needed to deliver against agreed targets MQLs SQLs Plan execute and project manage the strategy for d website conversion optimization Own and manage the planning and execution of acquisition campaigns channels including traffic generation social advertising content marketing and other awareness campaigns. Explore and experiment with new ways to generate marketing-qualified leads through digital channels Insights and Reporting Deliver data-driven insights to make recommendations to optimize and improve results. Keep up to date with current trends in partners marketing Collaborate closely with pre-sales and vendor teams to drive execution and impact. Participate in key planning/strategy meetings as required. The company offers Work in an international company Stable and competitive salary Interesting tasks and projects using new technologies Opportunities for professional and career development Comfortable conditions friendly friendly staff Medical insurance Office in the center of Kyiv metro University near the Circus,DATAS Technology,3y,Marketing,upper,2020-10-01T00:00:00+03:00,en,0271807c-0658-5b23-9dd8-e5bf54e72686,54807,"Role Overview:
The Digital Marketing Manager (IT) will develop and execute online campaigns, manage website conversion optimization, and oversee acquisition strategies to generate

Key Responsibilities:
The Digital Marketing Manager develops and executes online campaigns to deliver demand and manages website conversion optimization strategies. They oversee acquisition campaigns across various channels, including social advertising and content marketing, while exploring new ways to generate marketing-qualified leads. Additionally, the role involves delivering data-driven insights to optimize results and collaborating with pre-sales and vendor teams to drive impact.

Required Skills:
- 3 years proven experience in B2B software marketing, preferably SaaS.
- Minimum 3 years direct experience

Tools and Technologies:
SaaS, analytics platforms, SAP1, SEO, Email, Social, website conversion optimization, social advertising, and digital channels.

Experience Level:
3 years proven experience in B2B software marketing preferably SaaS
Minimum 3 years direct experience with demand generation
Experience of working with SAP1 clients is preferable"
DevOps Engineer,On behalf of our client from France Mobilunity is looking for a DevOps Engineer to maintain and develop the infrastructure and support the deployment. Our Сlient connects millions of buyers and merchants around the world to unlock cross-border trade. The company provides advanced international marketing solutions for ecommerce retailers and brands seeking to grow their businesses globally. Using a suite of automated localization tools merchants can quickly launch their stores on international markets and promote them to new audiences with Google Shopping Ads with a hosted international checkout solution allowing buyers to complete orders with local shipping payment methods. Responsibilities . building and setting up new development tools and infrastructures . working on ways to automate and improve development and release processes . ensuring that systems are safe and secure against cybersecurity threats identifying technical problems and developing software updates and fixes . working with software engineers to ensure that development follows established . processes and works as intended planning out projects and being involved in project management decisions . providing operational support of the applications in production . you will be required to perform occasional on call duties once every other month . close work with Development teams on working on best CI/CD solutions. Must have skills 3+ years of experience in a similar role Experience with Kubernetes Experience with AWS services EC2 S3 RDS IAM EKS ElasticCache Experience with Ansible Vault Terraform Experience with CI/CD fx based on Jenkins Gitlab or similar Knowledge about Python Perl or Bash Willingness to carry out all responsibilities related to DevOps and system administration Upper-Intermediate English skills. Nice to have skills Experience with GCP. In return we offer The friendliest community of like-minded IT-people Open knowledge-sharing environment exclusive access to a rich pool of colleagues willing to share their endless insights into the broadest variety of modern technologies Mobilunity Medical Insurance program designed to attend our teams needs Paid vacations and sick leaves including 5 paid days per year that don t require a sick note Fair salary and 100 taxes coverage don t worry about possible taxes raise we will get you covered Perfect office location in the city-center 900m from Lukyanivska metro station with a green and spacious neighborhood or remote mode engagement you can choose a convenient one for you with a possibility to fit together both No open-spaces setup separate rooms for every team s comfort and multiple lounge and gaming zones on all of the 3 floors English classes in 1-to-1 group modes with elements of gamification Neverending fun sports events tournaments music band multiple affinity groups Come on board and let s grow together,Mobilunity,3y,DevOps,upper,2022-10-01T00:00:00+03:00,en,04b80a32-a6fc-5207-9322-59cda1d45a6f,52106,"Role Overview:
Mobilunity is looking for a DevOps Engineer to maintain and develop the infrastructure and support the deployment for a client that provides advanced international marketing solutions for ecommerce retailers and brands.

Key Responsibilities:
The DevOps Engineer will maintain and develop infrastructure, build new development tools, and automate development and release processes to support deployment. They

Required Skills:
- 3+ years of experience in a similar role
- Experience with Kubernetes
- Experience with AWS services (EC2,

Tools and Technologies:
Kubernetes, AWS (EC2, S3, RDS, IAM, EKS, ElasticCache), Ansible, Vault, Terraform,

Experience Level:
3+ years of experience in a similar role"
Full stack - team leader,Description . Take full responsibility on the product and project delivery lifecycle. design develop test implement and support. the core company applications embedded backend and frontend . Responsible for leading and mentoring a small development team together with hands-on development. Oversee Customer technical support activities. Take active part in pre-sales and marketing activities. Customer meetings demos ets Requirements . 7 years as full stack dev in Cloud environment such as Azure or AWS with strong Java and Java script skills. 5 years of which in front-end-technologies. familiarity with react or angular. 2 years experience as a team leader 3-5 team members . Strong experience in integration of 3rd party APIs English. Upper intermediate,RaDevs,5y,JavaScript,upper,2022-09-01T00:00:00+03:00,en,89e75f7e-a2cb-5cb5-a3ed-01b61882b538,66912,"Role Overview:
The Full stack - team leader will manage the end-to-end product delivery lifecycle, lead and mentor a small development

Key Responsibilities:
You will take full responsibility for the product and project delivery lifecycle, including the design, development, testing, implementation, and support of core company applications. You will lead and mentor a small development team while performing hands-on development tasks. Additionally, you will oversee customer technical support activities and participate in pre-sales and marketing efforts, such as customer meetings and demonstrations.

Required Skills:
- 7 years of experience as a full stack developer in a Cloud environment such as Azure or AWS.
- 5 years of experience

Tools and Technologies:
Azure, AWS, Java, JavaScript, React, Angular, 3rd party APIs

Experience Level:
7 years as full stack dev in Cloud environment such as Azure or AWS with strong Java and Java script skills. 5 years of which in front-end-technologies. 2 years experience as a team leader 3-5 team members."
Engineering Manager (Digital Lead),We are looking for a Digital Lead to focus on strategy UX/UI design and tailored development solutions. The Digital Lead will report directly to the CEO manage a group of 4-5 project managers and oversee full development teams and life cycles. This position is Director level. Overall responsibilities include strategic planning assuring quality delivery in a growing agency environment monitoring key account relationships and accelerating team performance. Be an inspiring leader and mentor for the team members and a trusted advisor for the clients. What you ll need . Minimum 5+ years of agency experience managing multiple teams and projects simultaneously with a growth track record. Experience with one or more in the following fields UX/UI planning website analysis and strategies very tech savvy with strong understanding of development process PHP custom theme WordPress sites eCommerce . Entrepreneur mindset. Able to fully decompose digital challenges project goals and propose innovative solutions. Ability to analyze RFPs understand digital assets and have the competency to put together scope of work documentation based on client requirements. Strong understanding of websites/applications/e-Commerce and full-cycle project delivery. Sometimes roll up your sleeves and solve difficult tasks and situations and be a leader for the project teams. Excellent communication skills ability to communicate clearly and confidently both verbally and written. Fluent/Native in English. Superior organizational/follow-up skills with effective capacity to coordinate and prioritize multiple tasks without compromising attention to detail. Energetic and self-motivated with keen ability to maintain order in a fast-paced professional environment. Have the drive and vision to grow with a rapidly growing digital agency. Understanding of technical details and the ability to articulate to technical and non-technical personnel. Strong analytical skills and ability to make decisions recommendations and conclusions based upon data. Computer literacy requirements Outlook Word Excel PowerPoint GitHub Clickup Basecamp Slack other PM tools. Creative problem solving using logic and reasoning as used in programming. Work is flexible general work hours are 11am-8pm CET. For Bonus Points . An agency ex-executive / ex-director ex-owner . Previously UX/UI designer turned into management role ex-developer turned into management role a super tech savvy person with digital strategy knowledge . Experience working with US clients and having US-based education / work experience,Moon Agency,5y,Lead,fluent,2022-11-01T00:00:00+02:00,en,faa0d662-bb50-5bed-b5e4-eda682b0fa93,56552,"Role Overview:
Reporting to the CEO, the Digital Lead is a Director-level position responsible for managing project managers and development teams while focusing on strategy, UX

Key Responsibilities:
Reporting directly to the CEO, you will manage a group of 4-5 project managers and oversee full development teams and life cycles.

Required Skills:
- Minimum 5+ years of agency experience managing multiple teams and projects simultaneously with a growth track record.
- Experience in UX/UI

Tools and Technologies:
UX/UI design, PHP, WordPress, eCommerce, Outlook, Word, Excel, PowerPoint, GitHub, Clickup,

Experience Level:
Director level. Minimum 5+ years of agency experience managing multiple teams and projects simultaneously with a growth track record."
SFCC BED or Fullstack developer,SFCC Demandware experience at least 1 years Experience with SFRA will be a plus Knowledge of general E-commerce terms and functional elements Experience with integrations implementing realtime data exchange with webservices Good analytic skills Technical documentation writing skills English speaking skills not less than intermediate level Open management and friendly dynamic team Projects that use advanced cutting-edge technologies Certification Programs Free webinars meetups and conferences organized by company Flexible working hours and adjustable work/life balance Ongoing Performance Review Language classes in the office English French Remote Work Opportunities,IT Service Ukraine,no_exp,Other,intermediate,2020-05-01T00:00:00+03:00,en,859a9003-f724-5739-9267-1a0ce13b9770,156791,"Role Overview:
The SFCC BED or Fullstack developer requires at least one year of SFCC Demandware experience, knowledge of E-commerce

Key Responsibilities:
The developer will utilize SFCC Demandware and potentially SFRA to build e-commerce solutions using general e-commerce functional elements. Respons

Required Skills:
- SFCC Demandware experience (at least 1 year)
- Experience with SFRA (plus)
- Knowledge of general E-commerce terms and functional elements
- Experience with integrations implementing realtime data exchange with webservices
- Good analytic skills
- Technical documentation writing skills
- English speaking skills (at least intermediate level)

Tools and Technologies:
SFCC, Demandware, SFRA, webservices

Experience Level:
SFCC Demandware experience at least 1 years"
Exceptional Storyteller (Senior Marketeer),We are looking for an Exceptional Storyteller Senior Marketeer . A strong and energetic business and tech and marketing evangelist a top communicator who will build and lead us internally and externally to identify discover verify shape and communicate our bespoke impactful Enterprise level IT solutions bespoke top notch Enterprise level product solutions center of excellences culture and our unique assets and qualifications. This you will do in very close cooperation with our international operating business development teams pitch teams market and data insights team service lines leaders and HR/Recruitment team. If you want to make a true full-scale internal and external international business impact with your powerful and energetic Marketing and Storytelling knowledge expertise communication skills and hands on mentality for a innovative large international operating technology organization. you re the one we need Hard Requirements 5+ years of successful and relevant experience within the international operating IT solutions/service industry Proven experience in working with enterprise / corporate clients. Thorough knowledge of digital marketing techniques channels principles brand product and service management Thorough knowledge of highly targeted and effective ABM systems and campaigns. Outstanding written and oral communication and interpersonal skills A true internal and external integrator and bridge builder. Superb and proven data analytical skills Strong and proven business acumen Strong service and customer orientation Strong and proven budget management Leadership capabilities an Unstoppable positive drive passion and ambition Native or Strong Upper-Intermediate English level. Bonus Requirements Operational and/or brand Marketing Team management experience Knowledge/experience from Professional Service Industry on an enterprise-level within Audit Tax Finance Consulting Accounting Assurance Insurance. Knowledge/experience within Fortune 500 Companies in the fields of HR Security Fin. Compliance. Knowledge/experience from Product offering companies Enterprise / Scale-Up level . Any additional foreign languages in spoken and written form. Intermediate and upper level Spanish French German Arabic Hebrew Swedish Danish Norwegian Dutch Responsibilities Providing the organization with a long-term effective Storytelling content strategy. Providing the organization with a long-term effective Account-Based Marketing ABM strategy. Providing the organization with a short and long-term budget planning and reports. Providing the organization with effective compelling ABM reports. Creation of compelling attractive impactful stories on our bespoke Enterprise IT business solutions bespoke Enterprise level product solutions center of excellence culture and our unique assets and qualifications. Formation of a true in-in-depth understanding of a potential customer s business needs and challenges within the enterprise Audit Tax Finance Consulting Accounting Assurance Insurance industry verticals. Optimal use of data/trends/insights information thought identification discovery and verification process provided by the data research team. Creation and curation of professional compelling attractive impactful commercial storytelling marketing and sales collaterals. Creation and curation of compelling attractive impactful storytelling website content. Communicate and positively advocate the stories internally within the organization and its leaders and employees. Communicate and positively advocate the stories externally through digital marketing channels SMM and events for the appropriate set target audience. Publish and push the stories externally through highly targeted Account-Based Marketing. ABM Building and maintaining a highly efficient and effective Account-Based Marketing strategy and campaigns. ABM Build and lead a team of like-minded marketing professionals. Building strong professional relationships and cooperations with business development teams pitch teams graphic design teams market and data insights team HR/Recruitment team the board members and c-level executives. Build bridges between departments through enthusiastic positive compelling storytelling where needed. Who we are We are TRINETIX a dynamic rapidly growing technology organization with approximately 700 representatives in Europe the United States and Ukraine who bring their passion skill innovation to ensure our organization provides products that meet the needs of our partners and clients. We offer IT solutions to business enterprises of various sizes and industries using the latest cutting edge technologies. We assist our clients and partners in improving work processes making them more efficient while keeping the essential objectives in focus. We serve and support various business entities enterprises and startups globally to grow and stay competitive in the digital era. We achieve this incredibly important goal by efficiently implementing tech innovation substantial professional expertise and a solution-driven strategy.,Trinetix,5y,Marketing,upper,2021-05-01T00:00:00+03:00,en,28026ee0-ae44-5a81-b89a-b10a92b18de2,56947,"Role Overview:
The Exceptional Storyteller (Senior Marketeer) will lead the identification, shaping, and communication of bespoke Enterprise level IT solutions and unique

Key Responsibilities:
You will develop and implement long-term storytelling content and Account-Based Marketing (ABM) strategies, including managing budgets and reporting on campaign effectiveness. Your role involves creating impactful stories and marketing collaterals for enterprise IT solutions while collaborating with internal teams to advocate these narratives through digital channels, SMM, and events. Additionally, you will lead a team of marketing professionals and build strong relationships across departments to ensure a deep understanding of customer needs and business challenges.

Required Skills:
5+ years of successful and relevant experience within the international operating IT solutions/service industry
Proven experience in working with

Tools and Technologies:
ABM systems, digital marketing channels, SMM, and website content platforms.

Experience Level:
Senior Marketeer
5+ years of successful and relevant experience within the international operating IT solutions/service industry
Proven experience in working with enterprise"
Senior .NET Engineer with AWS,Currently we are looking for a remote Senior .NET Engineer with AWS for a Software company for our team. The customer is a world leading global provider of market intelligence deal execution platforms and investor communication tools to investment banks and corporations around the world. Responsibilities Designing implementing of new requirements and maintenance extending of existing codebase Reverse engineering of existing code Communication with customer and other teams Migration of existing application to AWS. Requirements 3+ years of software development experience English level B2 Hands-on experience with .Net Framework .Net Core / .netstandard 2.0 Experience with AWS SQS SNS S3 KMS EC2 Strong knowledge of Terraform Angular AspNet WebForms / AspNet MVC RabbitMQ NServiceBus Hangfire Experience with REST API MS SQL Autofac Ninject FakeitEasy CI/CD.,Epam Systems,3y,.NET,intermediate,2022-02-01T00:00:00+02:00,en,251cc796-4bfd-5b0b-aa60-188e059d99ca,148196,"Role Overview:
We are looking for a remote Senior .NET Engineer with AWS to design, implement, and maintain software for a global provider of market

Key Responsibilities:
The Senior .NET Engineer will design and implement new requirements while maintaining and extending the existing codebase. This role involves reverse engineering existing code and communicating directly with customers and other teams. Additionally, the engineer will be responsible for migrating the existing application to AWS.

Required Skills:
3+ years of software development experience
English level B2
Hands-on experience with .Net Framework, .Net Core /

Tools and Technologies:
.Net Framework, .Net Core, .netstandard 2.0, AWS (SQS, SNS, S3,

Experience Level:
Senior, 3+ years of software development experience"
Data Engineer,What you will need to do build and maintain the up-to-date state company data platform create and implement a strategy for developing the data platform integrate data platform with all needed sources and consumers align architecture of the data platform to the company and product strategy effectively communicate and process requests from all data consumers identify ways to improve data reliability efficiency and quality use modern technologies to improve data platform quality and stability create and maintain a data dictionary This is for you if you can build schedule and monitor complicated ETL processes have experience in database architecting and data warehousing are closely familiar with big data fundamentals know tools and components of data architecture have an in-depth knowledge of SQL Python and other database solutions are transparent and open in your work are self-disciplined are good at building long-term relationships are accurate are particularly attentive to details have experience with Airflow will be a plus What we offer opportunity to implement your ideas and initiatives handle the entire process team of professionals who will coach and advise opportunities for self-development and attend external educational events and conferences 40-hour working week with a flexible schedule and ability to work remotely competitive salary with regular compensation reviews PE accounting and support paid vacation and sick leaves gym membership compensation We are passionate about our Team and the product we create we never stop learning and always stay curious. Come join us to grow together Adwisely formerly RetargetApp is a marketing solution that helps e-commerce businesses promote their products on the biggest advertising platforms. Adwisely automatically creates and optimizes effective advertising campaigns. Our company has been a proud Facebook Marketing Partner since 2016 in Ukraine. With us you can develop a product together with the best Facebook Ads experts in the world and get a chance to work with new technologies before their public release.,Sunvery,3y,Data Engineer,intermediate,2022-02-01T00:00:00+02:00,en,fcb2ccfd-c106-5044-80af-281f9144b459,48499,"Role Overview:
The Data Engineer will build and maintain the company data platform, create a development strategy, integrate sources and consumers, and ensure data

Key Responsibilities:
You will build, maintain, and create a development strategy for the company's data platform while aligning its architecture with company and product strategies. Responsibilities include integrating the platform with various sources and consumers, as well as building, scheduling, and monitoring complex ETL processes. You will identify ways to improve data reliability, efficiency, and quality while effectively communicating with and processing requests from data consumers. Additionally, you will create and maintain a data dictionary and utilize modern technologies to enhance platform stability.

Required Skills:
- Ability to build, schedule, and monitor complicated ETL processes
- Experience in database architecting and data warehousing
- Familiarity with big

Tools and Technologies:
SQL, Python, Airflow, ETL processes, database solutions, data warehousing, big data fundamentals, data architecture, data platform, Facebook Ads, and advertising platforms.

Experience Level:
Not explicitly stated."
Middle/Senior React Native developer for cloud platform,Using their SaaS cloud platform broadcasters and content owners can develop and launch apps OTT services or integrate selected modules and functionalities such as engagement and interactivity into third-party apps. Apps powered by this platform are used by millions of viewers worldwide every day. They proudly count among its customers ProSiebenSat.1 Television Academy Viacom Baby First and many more. The Frameworks team is in charge of the core platform of our product. They develop APIs and SDKS in JavaScript iOS and Android which allows implementation teams and external developers to build rich mobile and TV applications. The team is responsible for the core UI framework which provides the building blocks for mobile and OTT apps. Responsibilities You will develop rich mobile and TV applications using the unique React Native framework. You will architect design and develop core APIs to be used by internal and external teams. Participate and lead research and design of various framework and end-user components. You will use your familiarity with recent technologies and practices to develop client-side infrastructural systems and integrate them into existing ones. You will be responsible for the end-to-end development of your work from research and design to automated testing and quality control Requirements 3+ years of experience in developing mobile applications iOS Android web-based 2+ years of experience in React Native Experience working with Typescript Deep understanding of JavaScript and strong capabilities of performance optimizations and debugging. Experience in Open source environment JSON for client-server communication high version control skills with emphasis on git Meaningful experience working on large complex systems. Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon in regards to estimates and to the general process. An understanding of React Native best practices and a commitment to following them. Ability to work through new and difficult React Native issues and contribute to libraries as needed. Ability to create and maintain continuous integration and delivery of React Native applications. Self-management in an agile environment Good communication in English ideally Upper-Intermediate or higher Nice to have Experience developing TV apps Apple TV Android TV Samsung Tizen . Experience working with Swift Kotlin digital video compression packaging distribution and automated testing. We offer Competitive salary depending on your experience Professional development opportunities Study and practice of English courses and communication with colleagues and clients from different countries Yoga classes Compensation package paid vacation sick leaves Flexible working hours from 9-11 to 18-20 Comfortable office or possibility to work remotely,Synergetica,3y,JavaScript,intermediate,2021-11-01T00:00:00+02:00,en,2f9ca683-d99c-5ee1-9d3f-c5f2d36b12f7,108159,"Role Overview:
As a Middle/Senior React Native developer, you will develop rich mobile and TV applications and architect core APIs for a SaaS cloud

Key Responsibilities:
You will develop rich mobile and TV applications using the React Native framework and architect core APIs for internal and external teams. You will lead

Required Skills:
- 3+ years of experience in developing mobile applications (iOS, Android, web-based)
- 2+ years of

Tools and Technologies:
React Native, JavaScript, TypeScript, iOS, Android, SaaS cloud platform, OTT services, JSON, git, Apple TV, Android TV, Samsung Tizen, Swift, Kotlin.

Experience Level:
Middle/Senior
3+ years of experience in developing mobile applications iOS Android web-based
2+ years of experience in React Native"
Junior Account/Affiliate Manager,SimplBit is a rapidly growing technology company focused on developing our own fintech products that will change the way people around the world interact with the financial market. We are driven by the fact that the financial market and its outstanding possibilities have never been closer to everyone. Our mission is to make trading and investment social and simple. Currently we are looking for a Junior Account/Affiliate Manager for our driving team Some things we consider critical to succeed in this role . Effective sales and negotiation skills. Driven and results-orientated. English level. upper-intermediate and higher. Fast learning and ability to soak information like a sponge. Will be a plus . Experience in affiliate/digital marketing or similar positions. Practice in sales. Responsibilities . Recruit and train new affiliates media. Increase the value of current partners while attracting new partners. Drafting Promo Emails for potential publishers. We offer . Training in a team of professionals with a good sense of humor. Flexible working hours start of the working day from 9 to 11 . 18-day paid vacation paid sick leave. Ability to work remotely. The best equipment for the work depending on your wishes . Health insurance. Tea/coffee/fruit and healthy snacks. Comfortable and spacious office m. Druzhby Narodov .,Simplbit,no_exp,Marketing,upper,2021-03-01T00:00:00+02:00,en,86d83e60-44a9-529f-a8f6-3f308989b533,79706,"Role Overview:
SimplBit is seeking a Junior Account/Affiliate Manager to recruit and train new affiliates, increase the value of current partners, and draft promo

Key Responsibilities:
The Junior Account/Affiliate Manager is responsible for recruiting and training new affiliate media. The role involves increasing the value of current partners while actively attracting new ones. Additionally, the position requires drafting promotional emails for potential publishers.

Required Skills:
- Effective sales and negotiation skills
- Driven and results-orientated
- English level: upper-intermediate and higher
- Fast learning and ability to soak information like a sponge
- Experience in affiliate/digital marketing or similar positions (plus)
- Practice in sales (plus)
- Ability to recruit and train new affiliates media
- Ability to increase the value of current partners while attracting new partners
- Ability to draft promo emails for potential publishers

Tools and Technologies:
Promo Emails

Experience Level:
Junior"
.Net Lead Software Engineer,UST Global is looking for a highly-skilled experienced .Net Lead Software Engineer. Responsibilities Top level expert in one or more highly specialized areas of applications systems analysis and programming. Leads the solution delivery and implementation for programs and projects Interfaces with product owners and key stakeholders Works and implements an agile/scrum DevOps processes continuous integration and automated testing frameworks. Troubleshoot and resolve performance issues in the server components DB components and UI. Works with Product Team to ensure user stories that are developer-ready easy to understand and testable. Writes custom code or scripts to do destructive testing to ensure adequate resiliency in production. Adheres to maintenance plans/timelines project plans/timelines support plan summaries and production requirements documents. Participates and leads in learning activities around modern software design and development core practices communities of practice . Keep abreast of the current technologies and technological trends. Ability to learn and prototype new technologies and recommend their appropriate use within the Company products. Reviews and discusses code from more senior engineers to understand best practices and design patterns. Increases business acumen by learning about other parts of the business. May be responsible for providing technical leadership in multiple phases of a project ensuring coordination of assignments to IT resource management and escalating key decision points that deviate from the provided technical direction. Participates in design and review of technical design for development staff. Utilizes agile project management tools and concepts to ensure projects are delivered on time and on budget. Maintain knowledge of development methods best practices and standards. Work closely with IT Security for to ensure all systems internally hosted cloud-based etc. follow industry standards and policies for safe-guarding data and access. Requirements Extensive knowledge and understanding of computer systems architecture and design computer industry trends and project management. Minimum 7+ years experience in development. Need to have experience in Production Support. Expert on cloud technologies Azure O365 AWS SharePoint 2013+ .NET Core and Dynamics Ability to develop new systems with .NET / / ASP.NET / C#.NET / SQL Server / Microsoft CRM Web Services Expert knowledge of Languages C# Visual Basic .NET F# C++ .NET Strong knowledge of C# .Net framework Asp.Net and MVC. Strong knowledge of OOAD and multi-tier architectures including MVC/MVP/MVVM design patterns. Strong knowledge of web services WCF REST and SOA Architecture. Knowledge with MS Entity Framework. Strong knowledge of MVC GUI design including the ability to incorporate JQuery JavaScript and CSS plus expertise with AJAX/SPA. Expertise with tools such as MS SQL Studio PL/SQL Developer / Toad etc. Strong analytical problem solving and planning skills. Excellent interpersonal and communication skills. Ability to multi-task in a fast-paced environment. Team player who is flexible delivery-oriented and takes responsibility for the team s success. Enthusiastic attitude with the drive to continually learn and improve. Ability to understand business needs and conceptualize and implement information systems that support those business strategies. Experience working within an agile framework like Scrum based development organization. Thorough knowledge of departmental procedures processes and work flows. Knowledge of standard languages coding methods company coding standards and quality requirements. Excellent oral and written communication skills required. Demonstrated abilities to successfully document and communicate software platform designs to all levels of staff technical and non-technical . Ability to work constructively with other technical experts in a group setting. Knowledge of object-oriented development languages and web-related technologies. Ability to comprehend the consequences of various problem situations and address them or refer them for appropriate decision making. Ability to effectively exchange information clearly and concisely and present ideas reports facts and other information and respond to questions as appropriate. Demonstrated leadership abilities. Ability to make competent independent decisions. Ability to manage technical services and software vendors. Ability and proficiency in the use of project management tools and techniques. Ability to maintain confidentiality. We offer Possibility to influence the development of the project Friendly professional staff and warm atmosphere The environment where you can implement your ideas Flexible schedule and opportunities to work remotely 8 hours workday Paid vacation and sick leaves Participation in educational activities and thematic conferences Team parties and corporate events,ITernal Group,5y,.NET,upper,2023-02-01T00:00:00+02:00,en,5c276aed-16cf-558a-9363-37ebe181c462,112241,"Role Overview:
UST Global is looking for a highly-skilled experienced .Net Lead Software Engineer to lead the solution delivery and implementation for programs and

Key Responsibilities:
The .Net Lead Software Engineer leads the solution delivery and implementation for programs and projects while interfacing with product owners and key stakeholders to ensure user

Required Skills:
- Minimum 7+ years of experience in development.
- Experience in Production Support.
- Expert knowledge of cloud

Tools and Technologies:
Azure, O365, AWS, SharePoint 2013+, .NET Core, Dynamics, .NET, ASP.NET

Experience Level:
Minimum 7+ years experience in development. Need to have experience in Production Support. Experience working within an agile framework like Scrum based development organization."
Intern С# Developer,Project Description One of the world s largest oil field service companies has a need to build a modern solutions that improve efﬁciency increase recovery and maximize production. Responsibilities . Bug fixing. Implementation of new features. Work as part of a product team using Agile approach Skills Must have. experience in .Net/C#. Basic knowledge and experience with OOP. Intermediate English language skills. Bachelor or Master s Degree in Computer Science. Good analytical problem solving and debugging skills Nice to have . Knowledge of relational databases and SQL. Understanding SOLID principles Languages English B1 Intermediate,Luxoft,no_exp,.NET,intermediate,2021-07-01T00:00:00+03:00,en,6d52ffe8-e7ac-5548-9aae-5b905a224208,72963,"Role Overview:
The Intern C# Developer will work as part of an Agile product team for one of the world's largest oil field service companies to fix

Key Responsibilities:
The Intern C# Developer will focus on bug fixing and the implementation of new features for modern solutions within the oil field service industry. They will work as part of a product team utilizing an Agile approach to improve efficiency, increase recovery, and maximize production. The role involves applying analytical, problem-solving, and debugging skills to support the development of these solutions.

Required Skills:
- Experience in .Net/C#
- Basic knowledge and experience with OOP
- Intermediate English language skills (B

Tools and Technologies:
.Net, C#, OOP, Agile, relational databases, SQL, SOLID principles

Experience Level:
Intern"
Embedded Software Engineer,They have over a billion dollars in contracts and they re quickly growing. Industry Telecommunications mainly B2B. Requirements . 3+ years as Embedded Software Engineer . At least Advanced English . DevOps experience with tools like Ansible chef puppet etc. Experience with analogue to digital signal processing . Experience with SIP/VoIP protocols technology . Extremely proficient with Linux on embedded architectures . Hands-on experience working with low-level C programming and embedded development . Detailed understanding of TCP UDP protocols . Experience with Python and web development a plus . Experience with routers device management and TR-069 / STUN . Experience with test-driven development and automated testing frameworks . Solid understanding of VPN OpenVPN and PPTP understanding of the OSI model . B1/B2 Visa for the USA it will not disqualify the candidate . Availability to overlap at least 6 hours with Eastern Timezone business hours 8 am to 5 pm . Important Soft Skills . Ability to conduct technological analyses and research . Leadership and organizational abilities . Strategic thinking and problem-solving aptitude . Ability to actively communicate inspire and motivate all levels of staff . Ability to think and act strategically and proactively . Strong communication presentation skills working with executives and customers . Good at problem-solving training others. Responsibilities . Analysis design and development of tests and test-automation suites . Designing and developing a processing platform using various configuration management technologies . Testing software development methodology in an agile environment . Maintaining supporting and enhancing existing systems and platforms . Collaborating with business users project managers and other engineers to achieve elegant solutions that suit all parties . Providing recommendations for continuous improvement . Working as part of a team that strives to elevate technology and consistently apply best practices . Enhancing the existing system through new initiatives and programs . Writing technical documentation that is accessible to colleagues partners and end-users . Leading embedded development initiatives with peer engineers . Channelling feedback from others into the product development strategy to drive improvements.,DNA325,3y,C++,fluent,2022-03-01T00:00:00+02:00,en,6abb5c07-f383-50e5-9a7c-d66ba6af608a,56177,"Role Overview:
The Embedded Software Engineer will lead embedded development initiatives and design, develop, and maintain processing platforms and test-automation suites for a growing B2

Key Responsibilities:
The Embedded Software Engineer is responsible for the analysis, design, and development of tests, test-automation suites, and processing platforms using configuration management technologies. This role involves maintaining and enhancing existing systems through new initiatives while

Required Skills:
* 3+ years as Embedded Software Engineer
* At least Advanced English
* DevOps experience with tools like Ansible

Tools and Technologies:
Ansible, Chef, Puppet, SIP, VoIP, Linux, C, TCP, UDP, Python, TR-069, ST

Experience Level:
3+ years as Embedded Software Engineer"
