experiment_id,prompt_type,model_name,temperature,max_tokens,num_samples_completed,rougeL_f1_mean,rougeL_f1_median,rougeL_f1_std,rougeL_f1_min,rougeL_f1_max,semantic_similarity_mean,semantic_similarity_median,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,irr_mean,irr_median,irr_std,irr_min,irr_max,hallucination_rate_mean,hallucination_rate_median,hallucination_rate_std,hallucination_rate_min,hallucination_rate_max,compression_ratio_mean,compression_ratio_median,compression_ratio_std,compression_ratio_min,compression_ratio_max,top_k_skill_coverage_mean,top_k_skill_coverage_median,top_k_skill_coverage_std,top_k_skill_coverage_min,top_k_skill_coverage_max,global_skill_overlap,hallucination_prevalence,hallucination_density,experiment_folder,rag_type,chunk_size_words,chunk_overlap_words,embedding_model,vector_database,retrieval_method,similarity_metric,top_k,grounding_score_mean,grounding_score_median,grounding_score_std,grounding_score_min,grounding_score_max,faithfulness_score_mean,faithfulness_score_median,faithfulness_score_std,faithfulness_score_min,faithfulness_score_max,retrieval_similarity_mean_mean,retrieval_similarity_mean_median,retrieval_similarity_mean_std,retrieval_similarity_mean_min,retrieval_similarity_mean_max,num_candidates,selection_consistency_score_mean,selection_consistency_score_median,selection_consistency_score_std,selection_consistency_score_min,selection_consistency_score_max,selection_completeness_score_mean,selection_completeness_score_median,selection_completeness_score_std,selection_completeness_score_min,selection_completeness_score_max,selection_final_score_mean,selection_final_score_median,selection_final_score_std,selection_final_score_min,selection_final_score_max,rougeL_f1_mean_norm,semantic_similarity_mean_norm,irr_mean_norm,top_k_skill_coverage_mean_norm,global_skill_overlap_norm,hallucination_rate_mean_norm,hallucination_prevalence_norm,hallucination_density_norm,compression_ratio_mean_norm,hallucination_rate_mean_score,hallucination_prevalence_score,hallucination_density_score,compression_ratio_mean_score,rougeL_f1_mean_score,semantic_similarity_mean_score,irr_mean_score,top_k_skill_coverage_mean_score,global_skill_overlap_score,benchmark_score,overall_rank
exp_s_R09_summarization_chain_of_thought_chromadb_openai-gpt-oss-120b,chain_of_thought,openai/gpt-oss-120b,0.0,700,100,0.449,0.4393,0.0812,0.224,0.6763,0.8445,0.8599,0.0659,0.6387,0.9651,0.352,0.3333,0.1627,0.0,0.7778,0.3378,0.3333,0.1695,0.0769,1.0,0.4705,0.4365,0.2255,0.1481,1.3151,0.384,0.4,0.2321,0.0,1.0,0.4037,1.0,6.07,exp_s_R09_summarization_chain_of_thought_chromadb_openai-gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7065,0.7198,0.0976,0.4163,0.8798,0.7448,0.7554,0.0824,0.5177,0.889,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.7686567164179103,0.8339920948616601,0.27485976542580315,0.37755102040816335,0.35807860262008706,0.348314606741573,0.0,0.15406162464986006,0.448297342192691,0.651685393258427,1.0,0.8459383753501399,0.551702657807309,0.7686567164179103,0.8339920948616601,0.27485976542580315,0.37755102040816335,0.35807860262008706,0.5786383074869627,11
exp_s_14_self_consistency_without_rag_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.3,700,100,0.4483,0.4404,0.0812,0.2254,0.7132,0.8456,0.8578,0.0658,0.5456,0.9468,0.387,0.369,0.166,0.0,0.8276,0.4227,0.4153,0.1837,0.0606,1.0,0.7177,0.5458,0.8142,0.1966,7.9857,0.388,0.4,0.2392,0.0,0.8,0.4087,1.0,10.6,exp_s_14_self_consistency_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7628524046434491,0.8557312252964415,0.4533401325854156,0.3979591836734695,0.3823386705482774,0.7298876404494381,0.0,0.7885154061624651,0.9615863787375416,0.2701123595505619,1.0,0.21148459383753493,0.0384136212624584,0.7628524046434491,0.8557312252964415,0.4533401325854156,0.3979591836734695,0.3823386705482774,0.5757174865936349,12
exp_s_R01_summarization_zero_shot_chromadb_llama-3.1-8b-instant,zero_shot,llama-3.1-8b-instant,0.0,700,100,0.466,0.4513,0.0844,0.3152,0.6473,0.8359,0.8466,0.0751,0.5092,0.9582,0.3692,0.3446,0.1603,0.0,0.8889,0.4093,0.3868,0.1869,0.1053,1.0,0.4367,0.3917,0.208,0.1407,1.25,0.384,0.4,0.2251,0.0,1.0,0.4258,1.0,8.95,exp_s_R01_summarization_zero_shot_chromadb_llama-3.1-8b-instant,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6929,0.7114,0.1101,0.3303,0.9115,0.7387,0.7509,0.1028,0.3849,0.9307,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9096185737976783,0.6640316205533594,0.3625701172870983,0.37755102040816335,0.46530810286268776,0.6696629213483145,0.0,0.5574229691876751,0.3781146179401993,0.3303370786516855,1.0,0.4425770308123249,0.6218853820598007,0.9096185737976783,0.6640316205533594,0.3625701172870983,0.37755102040816335,0.46530810286268776,0.5658409792009386,13
exp_s_R07_summarization_chain_of_thought_chromadb_llama-3.1-8b-instant,chain_of_thought,llama-3.1-8b-instant,0.0,700,100,0.4567,0.4518,0.0859,0.2763,0.7159,0.8353,0.8413,0.0706,0.5092,0.9572,0.3789,0.3503,0.1717,0.0,1.0,0.4661,0.4753,0.1894,0.1,1.0,0.5223,0.4435,0.3009,0.1975,2.0286,0.408,0.4,0.2308,0.0,1.0,0.4356,1.0,11.96,exp_s_R07_summarization_chain_of_thought_chromadb_llama-3.1-8b-instant,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6961,0.7092,0.1127,0.3519,0.9349,0.7272,0.7464,0.101,0.4342,0.9391,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.8325041459369817,0.6521739130434803,0.41203467618561973,0.4999999999999998,0.5128578360019407,0.9249438202247191,0.0,0.9789915966386555,0.5558554817275747,0.0750561797752809,1.0,0.021008403361344463,0.4441445182724253,0.8325041459369817,0.6521739130434803,0.41203467618561973,0.4999999999999998,0.5128578360019407,0.5515029777406374,14
exp_s_R15_summarization_self_consistency_chromadb_openai_gpt-oss-120b,self_consistency,openai/gpt-oss-120b,0.0,700,100,0.4417,0.4357,0.0783,0.3,0.6497,0.8421,0.851,0.0673,0.4836,0.9525,0.3487,0.3163,0.1586,0.0,0.8065,0.3448,0.3333,0.1689,0.0851,1.0,0.4263,0.3821,0.1925,0.1289,0.8904,0.386,0.4,0.2188,0.0,1.0,0.3834,1.0,6.15,exp_s_R15_summarization_self_consistency_chromadb_openai_gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.716,0.7212,0.088,0.4264,0.8755,0.7508,0.7585,0.0775,0.5315,0.8992,0.8168,0.8181,0.143,0.5401,1.0,3.0,0.9696,0.9798,0.0311,0.8642,1.0,0.9736,1.0,0.0426,0.84,1.0,0.8762,0.8778,0.0341,0.777,0.9461,0.708126036484245,0.786561264822133,0.25803161652218276,0.38775510204081653,0.2595827268316351,0.37977528089887636,0.0,0.1652661064425771,0.35651993355481737,0.6202247191011236,1.0,0.8347338935574229,0.6434800664451826,0.708126036484245,0.786561264822133,0.25803161652218276,0.38775510204081653,0.2595827268316351,0.5429162388867874,15
exp_s_03_zero_shot_without_rag_openai_gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0.0,700,100,0.4357,0.4326,0.0681,0.2952,0.678,0.8484,0.862,0.0678,0.5783,0.9552,0.3455,0.3266,0.1663,0.0,0.7812,0.3516,0.3333,0.1751,0.0606,1.0,0.4418,0.391,0.2185,0.1244,1.274,0.366,0.4,0.2345,0.0,1.0,0.3751,1.0,6.01,exp_s_03_zero_shot_without_rag_openai_gpt-oss-120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6583747927031505,0.9110671936758905,0.24171341152473214,0.2857142857142858,0.2193110140708392,0.41033707865168556,0.0,0.14565826330532217,0.3887043189368772,0.5896629213483144,1.0,0.8543417366946778,0.6112956810631228,0.6583747927031505,0.9110671936758905,0.24171341152473214,0.2857142857142858,0.2193110140708392,0.5399119953182945,16
exp_s_13_self_consistency_without_rag_llama3_1_8b_instant,self_consistency,llama-3.1-8b-instant,0.3,700,100,0.4577,0.4511,0.081,0.2705,0.7381,0.8349,0.8481,0.0769,0.5756,0.9514,0.3852,0.3584,0.1719,0.0,0.8889,0.4575,0.4687,0.1797,0.1071,1.0,0.5336,0.4713,0.2557,0.1726,1.4,0.386,0.4,0.2366,0.0,1.0,0.4035,1.0,11.66,exp_s_13_self_consistency_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8407960199004973,0.6442687747035549,0.4441611422743499,0.38775510204081653,0.3571081999029597,0.8862921348314607,0.0,0.9369747899159664,0.5793189368770764,0.11370786516853926,1.0,0.06302521008403361,0.42068106312292364,0.8407960199004973,0.6442687747035549,0.4441611422743499,0.38775510204081653,0.3571081999029597,0.5279224822306832,17
exp_s_01_zero_shot_without_rag_llama3_1_8b_instant,zero_shot,llama-3.1-8b-instant,0.0,700,100,0.4514,0.4556,0.0851,0.2563,0.6529,0.8323,0.84,0.0712,0.5523,0.9554,0.3758,0.3552,0.167,0.0,0.8889,0.4227,0.4046,0.171,0.075,1.0,0.4832,0.4064,0.2489,0.1408,1.55,0.402,0.4,0.2318,0.0,1.0,0.4041,1.0,9.55,exp_s_01_zero_shot_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7885572139303485,0.5928853754940704,0.39622641509433976,0.4693877551020409,0.3600194080543424,0.7298876404494381,0.0,0.6414565826330534,0.4746677740863787,0.2701123595505619,1.0,0.3585434173669466,0.5253322259136213,0.7885572139303485,0.5928853754940704,0.39622641509433976,0.4693877551020409,0.3600194080543424,0.5263567387660046,18
exp_s_R05_summarization_few_shot_chromadb_llama-3.3-70b-versatile,few_shot,llama-3.3-70b-versatile,0.0,700,100,0.4282,0.4313,0.0825,0.2604,0.6564,0.8256,0.8315,0.0592,0.6444,0.9271,0.4024,0.4,0.1584,0.0,0.8387,0.3759,0.3536,0.1725,0.0714,1.0,0.3769,0.3455,0.1687,0.1377,1.1188,0.404,0.4,0.2309,0.0,1.0,0.449,1.0,8.77,exp_s_R05_summarization_few_shot_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6809,0.6938,0.1064,0.3775,0.9088,0.7223,0.7248,0.0937,0.5086,0.9291,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.596185737976783,0.4604743083003946,0.531871494135645,0.4795918367346943,0.5778748180494906,0.5195505617977527,0.0,0.5322128851540615,0.2539451827242526,0.4804494382022473,1.0,0.4677871148459385,0.7460548172757474,0.596185737976783,0.4604743083003946,0.531871494135645,0.4795918367346943,0.5778748180494906,0.523433462513743,19
exp_s_10_style_based_without_rag_llama3_1_8b_instant,style_based,llama-3.1-8b-instant,0.0,700,100,0.4499,0.4496,0.0868,0.2421,0.6507,0.8317,0.8278,0.0637,0.6647,0.9603,0.3732,0.3508,0.1525,0.0,0.7778,0.425,0.424,0.1645,0.1273,1.0,0.3953,0.361,0.1886,0.137,1.175,0.392,0.4,0.236,0.0,1.0,0.4255,1.0,9.9,exp_s_10_style_based_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7761194029850746,0.5810276679841877,0.38296787353391126,0.41836734693877564,0.4638524987869965,0.7402247191011235,0.0,0.6904761904761905,0.29215116279069775,0.25977528089887647,1.0,0.30952380952380953,0.7078488372093023,0.7761194029850746,0.5810276679841877,0.38296787353391126,0.41836734693877564,0.4638524987869965,0.5226461792942043,20
exp_s_R03_summarization_zero_shot_chromadb_openai-gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0.0,700,100,0.44,0.4392,0.077,0.2794,0.6571,0.8371,0.8394,0.0572,0.6833,0.9616,0.3458,0.3313,0.1659,0.0,0.8333,0.3278,0.3039,0.1708,0.069,1.0,0.428,0.3738,0.2055,0.1333,1.2603,0.386,0.4,0.2314,0.0,1.0,0.3817,1.0,5.42,exp_s_R03_summarization_zero_shot_chromadb_openai-gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7052,0.7111,0.0921,0.4338,0.8753,0.7428,0.7481,0.0815,0.4288,0.8939,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.6940298507462686,0.6877470355731212,0.2432432432432432,0.38775510204081653,0.25133430373605026,0.3033707865168538,0.0,0.06302521008403361,0.36004983388704326,0.6966292134831462,1.0,0.9369747899159664,0.6399501661129567,0.6940298507462686,0.6877470355731212,0.2432432432432432,0.38775510204081653,0.25133430373605026,0.5184277810648057,21
exp_s_09_chain_of_thought_without_rag_openai_gpt-oss-120b,chain_of_thought,openai/gpt-oss-120b,0.0,700,100,0.4346,0.4331,0.076,0.2596,0.6305,0.8366,0.8537,0.0728,0.4673,0.9524,0.3537,0.339,0.1639,0.0,0.7812,0.3434,0.3077,0.1818,0.0638,1.0,0.4666,0.4453,0.2187,0.1422,1.25,0.374,0.4,0.2214,0.0,1.0,0.3791,1.0,6.05,exp_s_09_chain_of_thought_without_rag_openai_gpt-oss-120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6492537313432831,0.6778656126482225,0.28352881183069867,0.3265306122448981,0.2387190684133913,0.3734831460674155,0.0,0.1512605042016807,0.4401993355481728,0.6265168539325845,1.0,0.8487394957983193,0.5598006644518272,0.6492537313432831,0.6778656126482225,0.28352881183069867,0.3265306122448981,0.2387190684133913,0.4968584513345412,22
exp_s_R13_summarization_self_consistency_chromadb_llama-3.1-8b-instant,self_consistency,llama-3.1-8b-instant,0.0,700,100,0.4581,0.4668,0.0901,0.2623,0.6635,0.8312,0.846,0.074,0.6167,0.9598,0.3473,0.3258,0.1598,0.0,0.8889,0.4139,0.409,0.191,0.0968,1.0,0.424,0.3541,0.2241,0.129,1.45,0.374,0.4,0.2158,0.0,1.0,0.406,1.0,8.77,exp_s_R13_summarization_self_consistency_chromadb_llama-3.1-8b-instant,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7026,0.7062,0.1063,0.3208,0.9263,0.7416,0.7482,0.0975,0.3927,0.9242,0.8168,0.8181,0.143,0.5401,1.0,3.0,0.9985,1.0,0.0055,0.9699,1.0,0.9856,1.0,0.0348,0.84,1.0,0.8847,0.8844,0.0399,0.7427,0.9693,0.8441127694859039,0.571146245059289,0.2508924018357981,0.3265306122448981,0.3692382338670548,0.6903370786516854,0.0,0.5322128851540615,0.3517441860465117,0.30966292134831463,1.0,0.4677871148459385,0.6482558139534883,0.8441127694859039,0.571146245059289,0.2508924018357981,0.3265306122448981,0.3692382338670548,0.49017288654446656,23
