experiment_id,task_name,prompt_type,model_name,temperature,max_tokens,rag_used,input_type,num_samples_completed,num_correct,num_incorrect,valid_label_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_taxonomy_labels,experiment_folder,num_self_consistency_runs,rag_type,embedding_model,chunk_size_words,chunk_overlap_words,top_k,avg_retrieved_chunks,avg_top_similarity
exp_41_rc_style_based_nonrag_llama-3.3-70b-versatile,role_categorization,style_based,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,68,32,1.0,0.68,0.683,0.7699,0.6991,0.6321,0.68,0.6376,13,exp_41,,NON_RAG,,,,,,
exp_42_rc_style_based_nonrag_openai_gpt-oss-120b,role_categorization,style_based,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7478,0.7855,0.7118,0.7671,0.7,0.668,13,exp_42,,NON_RAG,,,,,,
exp_44_rc_self_consistency_nonrag_llama-3.3-70b-versatile,role_categorization,self_consistency,llama-3.3-70b-versatile,0.3,700,False,job_description_only,100,66,34,1.0,0.66,0.642,0.7674,0.6746,0.6131,0.66,0.6188,13,exp_44,5.0,NON_RAG,,,,,,
exp_45_rc_self_consistency_nonrag_openai_gpt-oss-120b,role_categorization,self_consistency,openai/gpt-oss-120b,0.3,700,False,job_description_only,100,72,28,1.0,0.72,0.755,0.7954,0.728,0.7788,0.72,0.6958,13,exp_45,5.0,NON_RAG,,,,,,
exp_43_rc_self_consistency_nonrag_llama_3_1_8b_instant,role_categorization,self_consistency,llama-3.1-8b-instant,0.3,700,False,job_description_only,100,58,42,0.95,0.58,0.5717,0.6975,0.5898,0.568,0.58,0.557,13,exp_43,5.0,NON_RAG,,,,,,
exp_49_rc_few_shot_rag_llama-3.1-8b-instant,role_categorization,few_shot,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,66,34,0.97,0.66,0.6655,0.6533,0.6187,0.6752,0.66,0.629,13,exp_49,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_48_rc_zero_shot_rag_openai_gpt-oss-120b,role_categorization,zero_shot,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,77,23,1.0,0.77,0.7898,0.8319,0.7721,0.8171,0.77,0.7506,13,exp_48,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_47_rc_zero_shot_rag_llama-3.3-70b-versatile,role_categorization,zero_shot,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,75,25,0.99,0.75,0.7582,0.8219,0.7577,0.7649,0.75,0.7254,13,exp_47,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_46_rc_zero_shot_rag_llama_3_1_8b_instant,role_categorization,zero_shot,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,73,27,0.99,0.73,0.7179,0.7996,0.7401,0.6614,0.73,0.6829,13,exp_46,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_50_rc_few_shot_rag_llama-3.3-70b-versatile,role_categorization,few_shot,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,72,28,1.0,0.72,0.6887,0.7948,0.7194,0.6606,0.72,0.679,13,exp_50,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_51_rc_few_shot_rag_openai_gpt-oss-120b,role_categorization,few_shot,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.7697,0.8241,0.7686,0.7488,0.76,0.7241,13,exp_51,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_52_rc_chain_of_thought_rag_llama-3.1-8b-instant,role_categorization,chain_of_thought,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,73,27,0.98,0.73,0.7621,0.7927,0.7447,0.7299,0.73,0.6948,13,exp_52,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_53_rc_chain_of_thought_rag_llama-3.3-70b-versatile,role_categorization,chain_of_thought,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,74,26,0.99,0.74,0.7381,0.8124,0.7448,0.7289,0.74,0.7032,13,exp_53,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_54_rc_chain_of_thought_rag_openai_gpt-oss-120b,role_categorization,chain_of_thought,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,73,27,1.0,0.73,0.7273,0.8085,0.7444,0.7073,0.73,0.6991,13,exp_54,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_55_rc_style_based_rag_llama-3.1-8b-instant,role_categorization,style_based,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,75,25,1.0,0.75,0.7255,0.8165,0.75,0.6765,0.75,0.6976,13,exp_55,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_56_rc_style_based_rag_llama-3.3-70b-versatile,role_categorization,style_based,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,78,22,1.0,0.78,0.7574,0.8404,0.7849,0.6996,0.78,0.7298,13,exp_56,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_57_rc_style_based_rag_openai_gpt-oss-120b,role_categorization,style_based,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.7783,0.8201,0.781,0.7592,0.76,0.7452,13,exp_57,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_58_rc_self_consistency_rag_llama-3.1-8b-instant,role_categorization,self_consistency,llama-3.1-8b-instant,0.3,700,True,retrieved_job_description_chunks,100,73,27,0.97,0.73,0.73,0.778,0.7342,0.6746,0.73,0.6846,13,exp_58,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_59_rc_self_consistency_rag_llama-3.3-70b-versatile,role_categorization,self_consistency,llama-3.3-70b-versatile,0.3,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.697,0.8278,0.7485,0.6684,0.76,0.7064,13,exp_59,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
exp_60_rc_self_consistency_rag_openai_gpt-oss-120b,role_categorization,self_consistency,openai/gpt-oss-120b,0.3,700,True,retrieved_job_description_chunks,100,78,22,1.0,0.78,0.7999,0.8396,0.7979,0.7744,0.78,0.7559,13,exp_60,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955
